"hid01","hs01a27","hs01b10","hs01b12","hs01a01","hs01a08","h01aa001","h01aa002","h01aa007","h01aa008","w01fnum","w01cnum","w01cnum_1","w01cnum_2","w01byr01","w01gen01","w01mar01","w01rel01","w01byr02","w01gen02","w01mar02","w01rel02","w01byr03","w01gen03","w01mar03","w01rel03","w01byr04","w01gen04","w01mar04","w01rel04","w01byr05","w01gen05","w01mar05","w01rel05","w01byr06","w01gen06","w01mar06","w01rel06","w01byr07","w01gen07","w01mar07","w01rel07","w01byr08","w01gen08","w01mar08","w01rel08","w01byr09","w01gen09","w01mar09","w01rel09","w01edu01","w01grd01","w01job01","w01jpo01","w01edu02","w01grd02","w01job02","w01jpo02","w01edu03","w01grd03","w01job03","w01jpo03","w01edu04","w01grd04","w01job04","w01jpo04","w01edu05","w01grd05","w01job05","w01jpo05","w01edu06","w01grd06","w01job06","w01jpo06","w01edu07","w01grd07","w01job07","w01jpo07","w01edu08","w01grd08","w01job08","w01jpo08","w01edu09","w01grd09","w01job09","w01jpo09","h01ba001","h01ba002","h01ba003","h01ba007","h01ba008","h01ba010","h01ba011","h01ba012","h01ba013","h01ba044","h01ba045","h01ba046","h01ba047","h01ba118","h01ba119","h01ba120","h01ba121","h01ba122","h01ba123","h01ba124","h01bb001","h01bb003","h01bb004","h01bb005","h01bb006","h01bb007","h01bb008","h01bb009","h01bb010","h01bb011","h01bb012","h01bb013","h01bb014","h01bb015","h01bb016","h01bb017","h01bb018","h01bb019","h01bb020","h01bb021","h01bb022","h01bb023","h01bb024","h01bb025","h01bb026","h01bb027","h01bb028","h01bb029","h01bb030","h01bb038","h01bb039","h01bb053","h01bb201","h01bb203","h01bb205","h01inc","h01inc_a","h01inc_b","h01exp","h01exp_a","h01exp_b","h01ca001","h01ca002","h01exp_cb","h01cb001","h01cb002","h01cb003","h01cb004","h01cb005","h01cb006","h01cb007","h01cb008","h01cb009","h01cb010","h01cb011","h01cb012","h01cb013","h01cb014","h01cb015","h01cb016","h01exp_cc","h01cc001","h01cc002","h01cc003","h01cc004","h01cc005","h01exp_cd","h01cd001","h01cd002","h01cd003","h01cd004","h01exp_ce","h01ce001","h01ce004","h01ce005","h01ce006","h01ce007","h01ce008","h01ce009","h01ce010","h01ce011","h01ce012","h01ce013","h01ce014","h01ce015","h01ce016","h01ce017","h01ce018","h01ce019","h01exp_cf","h01exp_cg","h01cg001","h01cg002","h01cg003","h01cg004","h01cg005","h01cg006","h01cg007","h01cg008","h01cg009","h01cg010","h01exp_ch","h01ch001","h01exp_ci","h01ch002","h01ch003","h01ch004","h01ch005","h01ch006","h01ch007","h01ch008","h01ch009","h01ch010","h01ch011","h01exp_cj","h01cj001","h01cj002","h01cj003","h01cj004","h01cj005","h01cj006","h01exp_ck","h01ck007","h01ck008","h01exp_cl","h01exp_cm","h01exp_cn","h01cn001","h01cn002","h01exp_co","h01co002","h01co004","h01co005","h01co201","h01co006","h01co008","h01co120","h01co009","h01co011","h01co012","h01co202","h01co013","h01co015","h01co121","h01co016","h01co018","h01co019","h01co203","h01co020","h01co022","h01co122","h01co023","h01co025","h01co026","h01co204","h01co027","h01co029","h01co123","h01co108","h01co104","h01co105","h01co106","h01co107","h01exp_cp","h01cp101","h01cp001","h01cp002","h01cp003","h01cp004","h01cp005","h01cp006","h01cp007","h01exp_cq","h01cq011","h01cq001","h01cq002","h01cq003","h01cq004","h01cq005","h01cq006","h01cq007","h01cq008","h01cq009","h01cq010","h01exp_cr","h01cr001","h01cr003","h01cr004","h01cr005","h01cr006","h01cr007","h01cr008","h01cr009","h01cr010","h01cr011","h01cr012","h01cr013","h01cr014","h01cr015","h01cr016","h01cr017","h01exp_cs","h01exp_ct","h01ct001","h01ct002","h01exp_cu","h01cu001","h01cu002","h01da001","h01da002","h01da003","h01da004","h01dc001","h01dc003","h01dc004","h01dc011","h01dc013","h01dc014","h01dc021","h01dc023","h01dc024","h01dc031","h01dd001","h01dd003","h01dd010","h01dd011","h01dd013","h01dd020","h01dd021","h01dd023","h01dd030","h01dd031","h01de001","h01de002","h01de003","h01de004","h01ea001","h01ea002","h01ea003","h01ea004","h01eb001","h01eb003","h01eb004","h01eb006","h01eb008","h01eb009","h01eb011","h01eb013","h01eb014","h01eb016","h01eb018","h01eb019","h01eb021","h01ec001","h01ec003","h01ec004","h01ec006","h01ec008","h01ec009","h01ec011","h01ec013","h01ec014","h01ec016","h01ec018","h01ec019","h01ec021","h01fa001","h01fa002","h01fa003","h01fa004","h01fa005","h01fa006","h01fa007","h01fa008","h01fa011","h01fa012","h01fa013","h01fa014","h01fa015","h01fa016","h01fb030","h01fb031","h01fb009","h01fb010","h01fb011","h01fb012","h01fb013","h01fb014","h01fb015","h01fb016","h01fb017","h01fb018","h01fb025","h01fb026","h01fb019","h01fb020","h01fb001","h01fb002","h01fc100","h01fc001","h01fc002","h01fc003","h01fc004","h01fc005","h01fc006","h01fc007","h01fc011","h01fc012","h01fc014","h01fc015","h01fc016","h01fc017","h01ka002","h01ka004","h01ka005","h01ka009","h01ka010","h01ka014","h01ka015","h01ka019","h01ka020","h01ka024","h01ka025","h01ka029","h01ka030","h01ka034","h01ka035","h01ka040","h01ka041","h01ka044","h01ka045","hpid01","hpid02","hpid03","hpid04","hpid05","hpid06","hpid07","hpid08","hpid09","h01cwt","version1"
10597,1,11,1,2,60061,1,2,4,2,4,2,0,2,1961,1,1,1,1966,2,1,2,1994,1,4,3,1997,2,4,3,,,,,,,,,,,,,,,,,,,,,7,2,3,1,7,2,2,1,3,1,14,,2,1,14,,,,,,,,,,,,,,,,,,,,,,2,1,63000,,,,,108,87,,,,,3,2,,1,6000,12,4000,1,5,-9,2003,2003,2000,2000,1,,,,,,,,,,,,,,,,,,,,,,1,70,1,25,,,16169,14869,1300,,,2316,7,300,11,1,11,1,3.5,1,1.5,1,0.5,1,5,2,,2,,2,,912,1,70,1,6,4,0,2,,2,,72,1,1059701,6,35,0.2,,,,,,,,,,,,,,176.399993896484,1,3,1,1,1,10,1,0.7,2,,78,1,,36,1,24,2,,,2,,1,18,54,1,4,1,50,2,,0,2,,,,60,1,60,1598,1059703,3,2,98,28,70,840,1059704,2,1,60,0,60,600,,,,,,,,,,,,,,,2,,,,,300,1,300,2,,2,,2,,600,2,2,,2,,2,,1,600,2,,0,2,,,,,,,,,,,,,,,,,370,1,370,357,1,357,1,600,1,1300,1,1059702,3,480,,,,,,,2,,,,,,,,,,2,,2,,2,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,1,10000,1,3000,2,,1,800,2,,2,,1,600,1,63000,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,1,1,1,1,2,,2,,,,,,,,,,,,1059701,1059702,1059703,1059704,,,,,,2231.790737,1.72000002861023
10598,1,11,1,2,60061,1,2,4,1,4,2,0,2,1960,1,1,1,1967,2,1,2,1990,2,4,3,1993,1,4,3,,,,,,,,,,,,,,,,,,,,,6,2,3,1,6,2,12,,4,1,14,,3,1,14,,,,,,,,,,,,,,,,,,,,,,2,1,60500,,,,,108,89,,,,,2,2,,2,,,,1,3,309,1996,1996,1100,1500,1,,,,,,,,,,,,,,,,,,,,,,1,38,1,7,,,7000,7000,0,,,957,4,350,14,1,14,1,2,1,0.7,1,0.7,1,9,2,,2,,2,,960,1,70,1,10,4,24,1,2,2,,44.4000015258789,1,1059801,3.7,35,0.2,,,,,,,,,,,,,,201.600006103516,1,3.5,1,1.3,1,12,2,,2,,120,1,,96,1,6,2,,,2,,1,18,0,2,,2,,2,,108,1,108,,,0,2,,3092,1059803,4,1,812,212,600,1500,1059804,3,1,80,25,55,700,,,,,,,,,,,,,,,2,,,,,120,1,120,1,120,2,,2,,0,2,2,,2,,2,,2,,2,,15,1,1059801,3,12,1059801,5,3,,,,,,,,,,,326,1,326,192,1,192,1,200,2,,2,,,,,,,,,,2,,,,,,,,,,2,,2,,2,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1700,1,400,2,,2,,2,,1,288,2,,1,60500,2,,2,,2,,2,,2,,2,,2,,2,,1,12000,2,,,2,,,1,12000,2,,2,,1,1,1,2,,2,,2,,,,,,,,,,,,1059801,1059802,1059803,1059804,,,,,,2231.790737,1.72000002861023
10599,1,11,1,2,60061,1,2,2,0,2,0,0,0,1933,1,1,1,1938,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,13,,4,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,58000,,,,,108,89,,,,,2,2,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,114.400001525879,114.400001525879,0,409,339,70,1,15,9,1,9,1,4.5,1,1,1,1,1,2.5,2,,2,,2,,120,1,10,2,,5,0,2,,2,,0,2,,,,,,,,,,,,,,,,,,66,2,,1,1.5,1,4,2,,2,,0,2,,,2,,2,,,2,,2,,0,2,,2,,2,,0,2,,,,24,1,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,120,1,120,2,,2,,2,,0,2,2,,2,,2,,2,,2,,0,2,,,,,,,,,,,,,,,,,0,2,,0,2,,1,70,2,,2,,,,,,,,,,1,5,1059901,100,,,,,,,2,,2,,2,,,,1,1059901,3,0.6,1059902,3,0.6,,,,,,,2,,,,,,,,,,,,,2,,2,,2,,2,,1,20000,2,,2,,1,58000,2,,2,,2,,2,,2,,2,,2,,2,,1,50000,2,,,2,,,1,27000,2,,1,23000,2,1,,1,,,,,,,,,,,,,,,,1059901,1059902,,,,,,,,2035.702608,1.72000002861023
10600,1,11,1,2,60061,1,2,5,2,5,3,1,2,1964,1,1,1,1966,2,1,2,1992,2,4,3,1993,2,4,3,2006,2,4,3,,,,,,,,,,,,,,,,,6,2,3,1,6,2,2,4,3,1,14,,3,1,14,,1,,13,,,,,,,,,,,,,,,,,,2,2,,25000,,,,109,89,,,,,2,2,,2,,,,1,3,318,1999,1999,1000,1300,1,,,,,,,,,,,,,,,,,,,,,,1,45,1,20,,,7839,7839,0,,,922,6,350,16,1,16,1,2.3,1,1,1,4,1,8,2,,2,,2,,600,1,50,2,,5,14.3999996185303,1,1.2,2,,90,1,1060001,7.5,8,0.25,,,,,,,,,,,,,,150,1,3,1,1.5,1,8,2,,2,,102,1,,72,1,12,2,,,2,,1,18,0,2,,2,,2,,0,2,,,,120,1,120,1860,1060003,3,1,240,180,60,840,1060004,3,2,180,120,60,600,,,,,,,,,,,,,,,2,,,,,60,1,60,2,,2,,2,,100,2,2,,2,,2,,2,,1,100,12,1,1060001,3,12,,,,,,,,,,,,,,,1,-9,206,1,206,1,60,2,,2,,,,,,,,,,1,11,1060003,48,11,1060004,48,,,,2,,2,,2,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,1,200,2,,2,,2,,2,,2,,2,,2,,1,30000,2,,2,,2,,2,,2,,2,,1,25000,1,6000,2,,,2,,,2,,2,,1,6000,2,1,1,1,1,2,,2,,2,,,,,,,,,,1060001,1060002,1060003,1060004,1060005,,,,,2231.790737,1.72000002861023
10601,1,11,1,2,980300,1,1,2,1,2,0,0,0,1977,1,1,1,1979,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,3,1,6,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,6500,,,,39.6,-9,,,,,3,2,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,3000,3000,0,1123.40002441406,662.400024414063,461,3,100,15,1,15,1,5.5,1,1,1,1.8,1,3,2,,2,,2,,240,1,5,1,15,3,120,1,10,2,,44.4000015258789,1,1060101,3.7,8,0.25,,,,,,,,,,,,,,120,1,3,2,,1,7,2,,2,,24,1,,12,1,12,2,,,2,,2,,70,2,,1,70,2,,0,2,,,,24,1,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,5,1,5,2,,2,,2,,0,2,2,,2,,2,,2,,2,,0,2,,,,,,,,,,,,,,,,,180,1,180,67,1,67,1,30,2,,2,,,,,,,,,,2,,,,,,,,,,2,,2,,2,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,1,800,1,300,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,6500,2,,2,,,2,,,2,,2,,2,,1,1,1,2,,,,,,,,,,,,,,,,1060101,1060102,,,,,,,,3861.147471,1.72000002861023
10602,1,11,1,2,980300,1,1,3,2,3,0,0,0,1955,1,1,1,1956,2,1,2,1981,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,4,4,2,12,,6,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,5,1,-9,,,,,,,198,-9,,,2,2,,2,,,,1,1,119,2007,2007,2600,2000,1,,,,,,,,,,,,,,,,,,,,,,1,100,1,50,,,8200,8200,0,6047,1785,4262,5,300,25,1,25,1,6,1,2,1,1.5,1,7,2,,2,,2,,576,1,40,1,8,4,240,1,15,1,5,88.8000030517578,1,1060201,7.4,38,0.2,,,,,,,,,,,,,,163.199996948242,1,3,1,5,1,5,1,0.6,2,,18,1,,6,2,,2,,,2,,1,12,0,2,,2,,2,,0,2,,,,24,1,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,50,1,50,2,,2,,2,,0,2,2,,2,,2,,2,,2,,100,1,1060201,5,100,,,,,,,,,,,,,,2500,1,2500,157,1,157,1,500,2,,1,1060201,3,240,,,,,,,2,,,,,,,,,,2,,2,,2,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,1,10000,2,,2,,1,5000,2,,1,2400,2,,1,-9,1,30000,1,20000,2,,2,,2,,2,,2,,2,,1,20000,2,,,2,,,1,20000,2,,2,,2,1,1,2,,1,1,,,,,,,,,,,,,1060201,1060202,1060203,,,,,,,3539.875832,1.72000002861023
10603,1,11,1,2,980300,1,1,2,1,2,0,0,0,1933,1,1,1,1935,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,4,4,4,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,-9,,,,,,,126,-9,,,2,2,,2,,,,1,1,119,2005,2005,1900,2000,1,,,,,,,,,,,,,,,,,,,,,,1,90,1,50,,,4827.60009765625,4827.60009765625,0,4829,3679,1150,4,350,40,1,40,1,10,1,10,2,,1,20,2,,2,,2,,1800,1,100,1,50,3,156,1,10,1,3,0,2,,,,,,,,,,,,,,,,,,108,1,2,1,1.5,1,3,1,2.5,2,,90,1,,36,1,36,2,,,2,,1,18,5,1,5,2,,2,,120,1,120,,,60,1,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,200,1,200,1,50,2,,2,,500,2,2,,2,,2,,1,500,2,,100,1,1060301,5,100,,,,,,,,,,,,,,90,1,90,360,1,360,1,200,2,,2,,,,,,,,,,2,,,,,,,,,,2,,2,,2,,,,1,1060301,3,1,1060302,3,1.3,,,,,,,2,,,,,,,,,,,,,1,1000,1,2000,2,,1,5000,2,,2,,2,,1,-9,2,,1,15000,1,5000,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,1,1,1,2,,,,,,,,,,,,,,,1060301,1060302,,,,,,,,2396.351968,1.72000002861023
10604,1,11,1,2,980300,1,1,4,1,4,2,0,2,1959,1,1,1,1962,2,1,2,1990,1,4,3,1994,2,4,3,,,,,,,,,,,,,,,,,,,,,6,2,3,1,4,2,12,,4,1,14,,3,1,14,,,,,,,,,,,,,,,,,,,,,,1,1,-9,,,105.6,-9,,,,,,,3,2,,2,,,,1,3,309,1994,1994,1200,1500,1,,,,,,,,,,,,,,,,,,,,,,1,-9,1,10,,,6000,6000,0,3457.80004882813,2462.80004882813,995,4,300,25,1,25,1,2,1,1.5,1,1,1,6,2,,2,,2,,780,1,50,1,15,3,204,1,15,1,2,36,1,1060401,3,24,0.25,,,,,,,,,,,,,,190.800003051758,1,2.5,1,2.5,1,10,1,0.9,2,,210,1,,120,1,60,2,,,1,18,1,12,0,2,,2,,2,,36,1,36,,,36,1,36,785,1060403,4,1,220,160,60,240,1060404,3,1,85,25,60,240,,,,,,,,,,,,,,,2,,,,,40,1,40,2,,2,,2,,0,2,2,,2,,2,,2,,2,,0,2,,,,,,,,,,,,,,,,,240,1,240,134,1,134,1,100,2,,2,,,,,,,,,,2,,,,,,,,,,2,,2,,2,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,1,3000,1,1500,2,,2,,2,,2,,2,,1,-9,2,,2,,2,,2,,2,,2,,2,,2,,1,5000,2,,,2,,,1,5000,2,,2,,1,1,1,2,,2,,2,,,,,,,,,,,,1060401,1060402,1060403,1060404,,,,,,2627.179482,1.72000002861023
10605,1,11,1,2,980300,1,1,4,1,4,2,0,2,1957,1,1,1,1964,2,1,2,1995,2,4,3,1999,1,4,3,,,,,,,,,,,,,,,,,,,,,7,2,2,1,6,2,12,,3,1,14,,2,1,14,,,,,,,,,,,,,,,,,,,,,,1,2,,8000,,165,60,,,,,,,3,2,,2,,,,1,1,139,2005,2005,1900,3000,1,,,,,,,,,,,,,,,,,,,,,,1,90,1,,20,,5000,5000,0,,,1984,4,320,20,1,20,1,5.5,1,1.4,1,8,2,,2,,2,,2,,1416,1,100,1,18,3,18,1,0.3,1,1.2,0,2,,,,,,,,,,,,,,,,,,222,1,3,1,2.5,1,10,1,3,2,,158.400009155273,1,,144,1,9.6,2,,,1,4.8,2,,57,1,15,2,,1,42,600,1,600,,,180,1,180,70,1060503,3,1,35,0,35,,1060504,2,1,35,0,35,,,,,,,,,,,,,,,,2,,,,,100,1,100,2,,2,,2,,0,2,2,,2,,2,,2,,2,,492,1,1060501,5,480,1060501,3,12,,,,,,,,,,,540,1,540,108,1,108,1,60,2,,1,1060501,3,200,1060501,11,90,,,,2,,,,,,,,,,2,,2,,2,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,1,4500,2,,2,,2,,1,1000,1,3000,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,8000,2,,2,,,2,,,2,,2,,2,,1,1,1,2,,2,,2,,,,,,,,,,,,1060501,1060502,1060503,1060504,,,,,,2920.069128,1.72000002861023
10606,1,11,1,2,20102,1,1,2,1,2,0,0,0,1936,2,1,1,1928,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,8,1,2,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,1000,14,,,46,32,,,,,2,2,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,2,,,,630,630,0,201.600006103516,154.600006103516,47,1,20,7,1,7,1,2,1,0.5,1,2,2,,2,,2,,2,,120,1,5,1,5,3,9.60000038146973,1,0.8,2,,0,2,,,,,,,,,,,,,,,,,,18,2,,1,1.5,2,,2,,2,,0,2,,,2,,2,,,2,,2,,0,2,,2,,2,,0,2,,,,0,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,2,,2,,2,,2,,0,2,2,,2,,2,,2,,2,,0,2,,,,,,,,,,,,,,,,,33,1,33,0,2,,2,,2,,2,,,,,,,,,,1,5,1060601,150,,,,,,,2,,2,,2,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1000,2,,2,,,2,,,2,,2,,2,,1,1,2,2,,,,,,,,,,,,,,,,1060601,1060602,,,,,,,,2012.331684,1.72000002861023
10607,1,11,1,2,20102,1,1,3,3,3,0,0,0,1955,2,1,1,1981,2,4,3,1983,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,3,2,8,1,4,2,4,1,5,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2800,,,,46.2,32.34,,,,,2,2,,2,,,,1,1,123,2002,2002,2000,2000,1,,,,,,,,,,,,,,,,,,,,,,1,150,1,40,,,5400,5400,0,,,614,4,177,14,1,14,1,2.5,1,1,1,7,2,,2,,2,,2,,420,1,25,1,10,3,0,2,,2,,180,1,1060702,15,6,0.25,,,,,,,,,,,,,,426,1,3.5,1,1,1,30,1,1,2,,72,1,,36,1,36,2,,,2,,2,,60,1,60,2,,2,,0,2,,,,0,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,24,1,24,2,,2,,2,,0,2,2,,2,,2,,2,,2,,0,2,,,,,,,,,,,,,,,,,356,1,356,213,1,213,2,,2,,2,,,,,,,,,,2,,,,,,,,,,2,,2,,2,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1000,1,100,2,,2,,2,,1,60,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2800,1,2800,2,,,2,,,2,,2,,1,2800,3,1,2,1,2,1,1,,,,,,,,,,,,,1060701,1060702,1060703,,,,,,,3033.361765,1.72000002861023
10608,1,11,1,2,20102,1,1,1,1,1,0,0,0,1971,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2800,,,,46.2,32.34,,,,,2,2,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2943,2943,0,597.700012207031,305.400024414063,292.299987792969,3,40,5,1,5,1,1.6,1,1.1,1,1.5,2,,2,,2,,2,,180,1,10,1,5,6,0,2,,2,,0,2,,,,,,,,,,,,,,,,,,56.4000015258789,1,2.7,2,,1,2,2,,2,,54,1,,24,1,30,2,,,2,,2,,0,2,,2,,2,,0,2,,,,0,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,10,1,10,2,,2,,2,,0,2,2,,2,,2,,2,,2,,0,2,,,,,,,,,,,,,,,,,70,1,70,24,1,24,2,,2,,2,,,,,,,,,,2,,,,,,,,,,2,,2,,2,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,1,7000,1,1000,2,,1,2000,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2800,2,,2,,,2,,,2,,2,,2,,1,1,1,,,,,,,,,,,,,,,,,1060801,,,,,,,,,3276.420282,1.72000002861023
10609,1,11,1,2,20102,1,1,4,2,4,2,2,0,1966,1,1,1,1974,2,1,2,2002,2,4,3,2003,1,4,3,,,,,,,,,,,,,,,,,,,,,4,2,2,1,4,2,2,1,1,,13,,1,,13,,,,,,,,,,,,,,,,,,,,,,2,3,,1031,14,,,46,32,,,,,3,2,,2,,,,1,3,309,1996,2004,50,1360,1,,,,,,,,,,,,,,,,,,,,,,1,28,1,28,,,3299,3299,0,1563.80004882813,1285.80004882813,278,3,100,22,1,22,1,2.5,1,0.9,1,5.5,2,,2,,2,,2,,420,1,20,1,15,4,0,2,,2,,90,1,1060901,7.5,26,0.25,,,,,,,,,,,,,,124.799995422363,1,2.5,1,0.6,1,7,1,0.3,2,,72,1,,36,1,36,2,,,2,,2,,0,2,,2,,2,,0,2,,,,0,2,,181,1060903,0,1,33,0,33,100,1060904,1,1,48,48,0,,,,,,,,,,,,,,,,2,,,,,40,1,40,2,,2,,2,,0,2,2,,2,,2,,2,,2,,0,2,,,,,,,,,,,,,,,,,138,1,138,27,1,27,1,40,2,,2,,,,,,,,,,2,,,,,,,,,,2,,2,,2,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1031,1,1000,2,,,2,,,2,,2,,1,1000,2,1,2,1,1,2,,2,,,,,,,,,,,,1060901,1060902,1060903,1060904,,,,,,1727.83799,1.72000002861023
10610,1,11,1,2,20102,1,1,2,2,2,0,0,0,1977,1,4,1,1952,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,1,3,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,3000,,,,46,32,,,,,3,2,,2,,,,1,3,312,2007,2007,1700,2000,1,,,,,,,,,,,,,,,,,,,,,,1,128,1,,40,,5000,5000,0,3729,3463,266,4,260,12,1,12,1,4,1,1.5,1,5,2,,2,,2,,2,,1800,1,50,1,100,1,120,1,10,2,,180,1,1061001,10,6,0.25,1061002,5,6,0.25,,,,,,,,,,207.600006103516,1,3.3,1,1,1,13,2,,2,,38.4000015258789,2,,,1,38.4,2,,,2,,2,,0,2,,2,,2,,0,2,,,,600,1,600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,25,1,25,2,,2,,2,,0,2,2,,2,,2,,2,,2,,0,2,,,,,,,,,,,,,,,,,0,2,,16,1,16,2,,2,,2,,,,,,,,,,2,,,,,,,,,,2,,2,,2,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,1,2500,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,3000,2,,2,,,2,,,2,,2,,2,,2,1,1,1,1,,,,,,,,,,,,,,,1061001,1061002,,,,,,,,2539.816304,1.72000002861023
10611,1,11,1,2,20102,1,2,5,2,5,1,1,0,1939,1,1,1,1949,2,1,2,1970,1,1,3,1979,2,1,4,2007,1,4,7,,,,,,,,,,,,,,,,,4,2,4,5,3,2,12,,4,2,4,4,4,2,12,,1,,13,,,,,,,,,,,,,,,,,,3,2,,7000,,,,66,52.8,,,,,4,2,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,5500,5500,0,934.799987792969,628.799987792969,306,4,100,20,1,20,1,7,1,6,1,7,2,,2,,2,,2,,240,1,20,2,,5,0,2,,2,,72,1,1061103,6,8,0.25,,,,,,,,,,,,,,184.800003051758,1,2.8,1,2,1,10,1,0.6,2,,12,2,,,2,,2,,,2,,1,12,0,2,,2,,2,,0,2,,,,0,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,100,1,100,2,,2,,2,,0,2,2,,2,,2,,2,,2,,100,1,1061101,5,40,1061102,5,30,1061104,5,30,,,,,,,,75,1,75,60,1,60,1,10,2,,2,,,,,,,,,,2,,,,,,,,,,2,,2,,2,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,1,100,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,7000,1,2000,2,,,2,,,2,,1,2000,2,,2,1,1,2,,1,2,2,,2,,,,,,,,,,1061101,1061102,1061103,1061104,1061105,,,,,1647.306698,1.72000002861023
10612,1,11,1,2,20102,1,2,4,1,4,2,2,0,1970,1,1,1,1975,2,1,2,2003,2,4,3,2007,1,4,3,,,,,,,,,,,,,,,,,,,,,5,2,2,5,5,2,12,,1,,13,,1,,13,,,,,,,,,,,,,,,,,,,,,,1,2,,5000,,82.5,59.4,,,,,,,3,2,,2,,,,1,1,113,1993,1993,-9,1900,1,,,,,,,,,,,,,,,,,,,,,,1,40,1,30,,,2500,2500,0,,,330,3,100,17,1,17,1,5.5,1,4.5,1,7,2,,2,,2,,2,,480,1,30,1,10,3,0,2,,2,,72,1,1061201,6,6,0.25,,,,,,,,,,,,,,106.800003051758,1,3,1,2,1,3,1,0.9,2,,54,1,,30,1,12,2,,,1,12,2,,0,2,,2,,2,,0,2,,,,0,2,,300,1061203,1,2,300,300,0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,5,1,5,2,,2,,2,,0,2,2,,2,,2,,2,,2,,0,2,,,,,,,,,,,,,,,,,210,1,210,120,1,120,2,,2,,2,,,,,,,,,,2,,,,,,,,,,2,,2,,2,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,1,50,1,20,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,5000,2,,2,,,2,,,2,,2,,2,,1,1,1,2,,2,,2,,,,,,,,,,,,1061201,1061202,1061203,1061204,,,,,,2653.387325,1.72000002861023
